Lot Name,Address,Price
401 The West Mall - Lot #522,401 The West Mall Etobicoke ON,
Burnhamthorpe Square - Lot #280,10 Four Seasons Place Etobicoke ON,$1.50 per hr or less
181 The West Mall - Lot #503,181 The West Mall Etobicoke ON,
5343 - 5353 Dundas St. W. - Lot #298,5343 - 5353 Dundas St. W. Etobicoke ON,$6.00 per 1 hour or less
5249 Dundas St. W. - Lot #516,5249 Dundas St. W Etobicoke ON,"$3 1hr, $5 2h, $7 4hr, $10 for 24hrs"
5249 Dundas St. W. - Lot #516,5249 Dundas St. W Etobicoke ON,"$3 1hr, $5 2h, $7 4hr, $10 for 24hrs"
