Lot Name,Zone,Price,Duration
"2493 Lakeshore Blvd. WEtobicoke , ON",Zone 5026,$2,2 Hours
"4975 Dundas street westEtobicoke , ON",Zone 9010,$5,2 Hours
"1257 Lakeshore Rd. EEtobicoke , ON",Zone 5027,$6,2 Hours
"580 The East MallEtobicoke , ON",Zone 9132,$2,2 Hours
"545 The West MallEtobicoke , ON",Zone 9016,$2,2 Hours
