Lot Name,Address,Price
9650 Jasper Avenue NW - Lot #354,"9650 Jasper Avenue NW Edmonton, AB",$6.00 per hr
10105 - 108 AVENUE - Lot #376,"10105 - 108 AVENUE Edmonton, AB",$2.00 per hr
9680 - Jasper Ave - Lot #140,"9680 Jasper Ave Edmonton, AB",$4.00 per hr
9655 - 102a Avenue NW - Lot #173,"9655 - 102a Avenue NW Edmonton, AB",$4.00 per hr
Pearl City - 9638 102 Avenue - Lot #250,"9638 - 102 Avenue Edmonton, AB",$4.00 per hr
9645 - 103rd Avenue NW - Lot #146,"9645 - 103rd Avenue NW Edmonton, AB",$4.00 per hr
9638 - 103rd Avenue NW - Lot #98,"9638 - 103rd Avenue NW Edmonton, AB",$6.00 per hr
9639 - 103a Avenue NW - Lot #77,"9639 - 103a Avenue NW Edmonton, AB",$6.00 per hr
9624 - 102a Avenue NW - Lot #63,"9624 - 102a Avenue NW Edmonton, AB",$4.00 per hr/$10.00 per 3hrs
10766 - 99 Street - Lot #448,"10766 - 99 Street Edmonton, AB",$1.00 per hr
9604 - 103 Avenue - Lot #73,"9604 - 103 Avenue Edmonton, AB",$6.00 per hr/10.00 per 2 hours
9563 - 101a Avenue NW - Lot #196,"9563 - 101a Avenue NW Edmonton, AB",$5.00 per hr
9613 - 103rd Avenue NW - Lot #260,"9613 - 103rd Avenue NW Edmonton, AB",$4.00 per hr
9551 - 103a Avenue NW - Lot #318,"9551 - 103a Avenue NW Edmonton, AB",$4.00 per hr
9551 - 103a Avenue NW - Lot #318,"9551 - 103a Avenue NW Edmonton, AB",$4.00 per hr
